budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
44000000.0,Partisan Productions,United States,Michael Cimino,Adventure,3484523.0,Heaven's Gate,R,1981-04-24,219.0,6.8,Kris Kristofferson,14000.0,Michael Cimino,1980
12000000.0,Bryna Productions,United States,Don Taylor,Action,16647800.0,The Final Countdown,PG,1980-08-01,103.0,6.7,Kirk Douglas,22000.0,Thomas Hunter,1980
20000000.0,Universal Pictures,United States,Robert Greenwald,Fantasy,22762571.0,Xanadu,PG,1980-08-08,96.0,5.3,Olivia Newton-John,12000.0,Richard Christian Danus,1980
9000000.0,Twentieth Century Fox,United States,Stuart Rosenberg,Crime,37121708.0,Brubaker,R,1980-06-20,131.0,7.2,Robert Redford,17000.0,W.D. Richter,1980
4800000.0,Paramount Pictures,United States,Paul Schrader,Crime,22743674.0,American Gigolo,R,1980-02-01,117.0,6.2,Richard Gere,22000.0,Paul Schrader,1980
5100000.0,Cattle Annie Productions,United States,Lamont Johnson,Drama,534816.0,Cattle Annie and Little Britches,PG,1981-04-24,97.0,6.1,Scott Glenn,604.0,David Eyre,1980
10000000.0,Warner Bros.,United States,Howard Zieff,Comedy,69847348.0,Private Benjamin,R,1980-10-10,109.0,6.2,Goldie Hawn,24000.0,Nancy Meyers,1980
4000000.0,PolyGram Filmed Entertainment,United States,Floyd Mutrux,Comedy,10000000.0,The Hollywood Knights,R,1980-05-30,91.0,6.3,Tony Danza,4300.0,Floyd Mutrux,1980
3000000.0,Camp Hill,United States,Kevin Connor,Comedy,6342668.0,Motel Hell,R,1980-10-24,101.0,6.0,Rory Calhoun,11000.0,Robert Jaffe,1980
3500000.0,Melvin Simon Productions,United States,Richard Rush,Action,7063886.0,The Stunt Man,R,1980-06-27,131.0,7.1,Peter O'Toole,9000.0,Lawrence B. Marcus,1980
22000000.0,Universal Pictures,United States,Michael Ritchie,Action,15716828.0,The Island,R,1980-06-13,109.0,5.3,Michael Caine,3900.0,Peter Benchley,1980
15000000.0,Universal Pictures,United States,Clive Donner,Action,14662035.0,The Nude Bomb,PG,1980-05-09,94.0,5.1,Don Adams,3100.0,Mel Brooks,1980
10000000.0,Jack Rollins & Charles H. Joffe Productions,United States,Woody Allen,Comedy,10389003.0,Stardust Memories,PG,1980-06-26,89.0,7.3,Woody Allen,22000.0,Woody Allen,1980
7000000.0,Universal Pictures,United States,Jonathan Demme,Comedy,4309490.0,Melvin and Howard,R,1980-06-19,95.0,6.8,Paul Le Mat,4500.0,Bo Goldman,1980
6500000.0,Warner Bros.,United States,Clint Eastwood,Action,24265659.0,Bronco Billy,PG,1980-06-11,116.0,6.1,Clint Eastwood,11000.0,Dennis Hackin,1980
20000000.0,International Cinema,United States,James Goldstone,Action,3763988.0,When Time Ran Out...,PG,1980-03-28,121.0,4.6,Paul Newman,2600.0,Gordon Thomas,1980
6000000.0,Mulberry Square Productions,United States,Joe Camp,Comedy,6216067.0,Oh Heavenly Dog,PG,1980-07-11,103.0,5.4,Chevy Chase,2400.0,Rod Browning,1980
4000000.0,American Cinema Productions,United States,Eric Karson,Action,18971000.0,The Octagon,R,1980-08-15,103.0,5.1,Chuck Norris,5200.0,Leigh Chapman,1980
6000000.0,Walt Disney Productions,United States,Charles Jarrott,Adventure,11000000.0,The Last Flight of Noah's Ark,G,1980-06-25,97.0,5.8,Elliott Gould,1300.0,Ernest K. Gann,1980
5500000.0,Twentieth Century Fox,United States,Paul Mazursky,Comedy,4400000.0,Willie & Phil,R,1980-08-15,115.0,5.9,Michael Ontkean,415.0,Jean Gruault,1980
5100000.0,Borough Park Productions,Canada,John Huston,Drama,59167.0,Phobia,R,1980-06-09,94.0,4.0,Paul Michael Glaser,546.0,Gary Sherman,1980
18000000.0,Paramount Pictures,United States,Steven Spielberg,Action,389925971.0,Indiana Jones and the Raiders of the Lost Ark,PG,1981-06-12,115.0,8.4,Harrison Ford,905000.0,Lawrence Kasdan,1981
10000000.0,Polygram Pictures,United Kingdom,John Landis,Comedy,30669378.0,An American Werewolf in London,R,1981-08-21,97.0,7.5,David Naughton,97000.0,John Landis,1981
6000000.0,AVCO Embassy Pictures,United States,John Carpenter,Action,25244626.0,Escape from New York,R,1981-07-10,99.0,7.2,Kurt Russell,131000.0,John Carpenter,1981
350000.0,Renaissance Pictures,United States,Sam Raimi,Horror,2956630.0,The Evil Dead,NC-17,1983-04-15,85.0,7.5,Bruce Campbell,192000.0,Sam Raimi,1981
2500000.0,Astral Bellevue Pathé,Canada,Bob Clark,Comedy,111289673.0,Porky's,R,1982-03-19,94.0,6.2,Dan Monahan,40000.0,Bob Clark,1981
18000000.0,Filmways Pictures,United States,Brian De Palma,Crime,12000000.0,Blow Out,R,1981-07-24,108.0,7.4,John Travolta,47000.0,Brian De Palma,1981
15000000.0,Charles H. Schneer Productions,United Kingdom,Desmond Davis,Action,41092328.0,Clash of the Titans,PG,1981-06-12,118.0,6.9,Laurence Olivier,42000.0,Beverley Cross,1981
11000000.0,Cinema '84,United Kingdom,John Boorman,Adventure,34971136.0,Excalibur,R,1981-04-10,140.0,7.4,Nigel Terry,59000.0,Thomas Malory,1981
3000000.0,Kennedy Miller Productions,Australia,George Miller,Action,23668369.0,Mad Max 2,R,1982-05-21,96.0,7.6,Mel Gibson,170000.0,Terry Hayes,1981
10000000.0,Columbia Pictures,United States,Ivan Reitman,Comedy,85297000.0,Stripes,R,1981-06-26,106.0,6.9,Bill Murray,68000.0,Len Blum,1981
18000000.0,Golden Harvest Company,United States,Hal Needham,Action,72179579.0,The Cannonball Run,PG,1981-06-19,95.0,6.2,Burt Reynolds,34000.0,Brock Yates,1981
5500000.0,Mann/Caan Productions,United States,Michael Mann,Action,11492915.0,Thief,R,1981-03-27,123.0,7.4,James Caan,27000.0,Frank Hohimer,1981
5000000.0,HandMade Films,United Kingdom,Terry Gilliam,Adventure,42368025.0,Time Bandits,PG,1981-11-06,110.0,7.0,Sean Connery,60000.0,Michael Palin,1981
1250000.0,Georgetown Productions Inc.,United States,Steve Miner,Horror,21722776.0,Friday the 13th Part 2,R,1981-05-01,87.0,6.1,Betsy Palmer,61000.0,Ron Kurz,1981
28000000.0,Eon Productions,United Kingdom,John Glen,Action,54813222.0,For Your Eyes Only,PG,1981-06-26,127.0,6.7,Roger Moore,94000.0,Richard Maibaum,1981
2500000.0,Dino De Laurentiis Company,United States,Rick Rosenthal,Horror,25533818.0,Halloween II,R,1981-10-30,92.0,6.5,Jamie Lee Curtis,77000.0,John Carpenter,1981
14000000.0,Major Studio Partners,United States,Harold Becker,Drama,35856053.0,Taps,PG,1981-12-25,126.0,6.8,George C. Scott,17000.0,Darryl Ponicsan,1981
32000000.0,Barclays Mercantile Industrial Finance,United States,Warren Beatty,Biography,40382659.0,Reds,PG,1981-12-25,195.0,7.3,Warren Beatty,21000.0,Warren Beatty,1981
12000000.0,Walt Disney Animation Studios,United States,Directors,Animation,63456988.0,The Fox and the Hound,G,1981-07-10,83.0,7.3,Mickey Rooney,87000.0,Daniel P. Mannix,1981
5500000.0,Enigma Productions,United Kingdom,Hugh Hudson,Biography,59303359.0,Chariots of Fire,PG,1982-04-09,125.0,7.2,Ben Cross,56000.0,Colin Welland,1981
12000000.0,Columbia Pictures,United States,Sydney Pollack,Drama,40716963.0,Absence of Malice,PG,1981-12-18,116.0,6.9,Paul Newman,12000.0,Kurt Luedtke,1981
6500000.0,Metro-Goldwyn-Mayer (MGM),United States,John Derek,Adventure,36565280.0,Tarzan the Ape Man,Approved,1981-07-24,115.0,3.4,Bo Derek,5300.0,Tom Rowe,1981
10000000.0,Lorimar Film Entertainment,United Kingdom,John Huston,Drama,10853418.0,Victory,PG,1981-07-31,116.0,6.7,Michael Caine,29000.0,Yabo Yablonsky,1981
7000000.0,Orion Pictures,United States,Steve Gordon,Comedy,95461682.0,Arthur,PG,1981-07-17,97.0,6.9,Dudley Moore,27000.0,Steve Gordon,1981
11000000.0,Brooksfilms,United States,Mel Brooks,Comedy,31672907.0,History of the World: Part I,R,1981-06-12,92.0,6.9,Mel Brooks,47000.0,Mel Brooks,1981
1000000.0,Embassy Pictures,United States,Joe Dante,Horror,17985893.0,The Howling,R,1981-04-10,91.0,6.6,Dee Wallace,32000.0,Gary Brandner,1981
18000000.0,Paramount Pictures,United Kingdom,Matthew Robbins,Action,14110013.0,Dragonslayer,PG,1981-06-26,109.0,6.7,Peter MacNicol,16000.0,Hal Barwood,1981
3000000.0,Gurian Entertainment,United States,Ivan Passer,Crime,1752634.0,Cutter's Way,R,1982-02-10,109.0,6.9,Jeff Bridges,5300.0,Newton Thornburg,1981
12500000.0,International Cinema Corporation (ICC),Canada,Jean-Jacques Annaud,Adventure,20962615.0,Quest for Fire,R,1982-02-12,100.0,7.3,Everett McGill,21000.0,Gérard Brach,1981
5000000.0,Twentieth Century Fox,United Kingdom,Graham Baker,Horror,20471382.0,The Final Conflict,R,1981-03-20,108.0,5.6,Sam Neill,19000.0,David Seltzer,1981
5000000.0,Paramount Pictures,United States,Frank Perry,Biography,19032261.0,Mommie Dearest,R,1981-06-25,129.0,6.7,Faye Dunaway,15000.0,Christina Crawford,1981
2800000.0,Barry & Enright Productions,United States,Alan Myerson,Comedy,26279000.0,Private Lessons,R,1981-06-10,87.0,5.2,Sylvia Kristel,3400.0,Dan Greenburg,1981
12000000.0,CIP Filmproduktion GmbH,West Germany,Bob Rafelson,Crime,12376625.0,The Postman Always Rings Twice,R,1981-03-20,122.0,6.6,Jack Nicholson,22000.0,David Mamet,1981
2500000.0,PolyGram Filmed Entertainment,United States,Wes Craven,Horror,8279042.0,Deadly Blessing,R,1981-08-14,100.0,5.6,Maren Jensen,5200.0,Glenn M. Benest,1981
8500000.0,Twentieth Century Fox,United States,Peter Yates,Crime,6400000.0,Eyewitness,R,1981-02-13,103.0,6.0,William Hurt,4500.0,Steve Tesich,1981
16000000.0,The Ladd Company,United Kingdom,Peter Hyams,Action,17374595.0,Outland,R,1981-05-22,109.0,6.6,Sean Connery,28000.0,Peter Hyams,1981
12000000.0,Artista Management,United States,Blake Edwards,Comedy,14867086.0,S.O.B.,R,1981-07-01,122.0,6.4,Julie Andrews,5700.0,Blake Edwards,1981
400000.0,Fulvia Film,Italy,Lucio Fulci,Horror,123843.0,The Beyond,R,1983-11-11,87.0,6.8,Catriona MacColl,21000.0,Dardano Sacchetti,1981
26000000.0,Zoetrope Studios,United States,Francis Ford Coppola,Drama,636796.0,One from the Heart,R,1982-02-11,107.0,6.5,Frederic Forrest,5700.0,Armyan Bernstein,1981
10000000.0,Chartoff-Winkler Productions,United States,Ulu Grosbard,Crime,12850276.0,True Confessions,R,1981-06-25,108.0,6.3,Robert De Niro,7500.0,John Gregory Dunne,1981
5000000.0,Universal Pictures,United States,Bruce Malmuth,Action,19905359.0,Nighthawks,R,1981-04-10,99.0,6.4,Sylvester Stallone,18000.0,David Shaber,1981
8500000.0,Columbia Pictures,United States,John G. Avildsen,Comedy,29916207.0,Neighbors,R,1981-12-18,94.0,5.6,John Belushi,7600.0,Thomas Berger,1981
17000000.0,Orion Pictures,United States,Michael Wadleigh,Horror,10626725.0,Wolfen,R,1981-07-24,115.0,6.3,Albert Finney,9400.0,Whitley Strieber,1981
8600000.0,Orion Pictures,United States,Sidney Lumet,Crime,8124257.0,Prince of the City,R,1981-08-26,167.0,7.5,Treat Williams,7600.0,Jay Presson Allen,1981
800000.0,Georgetown Productions Inc.,United States,Ken Wiederhorn,Horror,1118634.0,Eyes of a Stranger,R,1981-03-27,84.0,6.0,Lauren Tewes,2400.0,Ron Kurz,1981
20000000.0,Innovisions,United States,Steve Rash,Comedy,18826490.0,Under the Rainbow,PG,1981-07-31,98.0,5.4,Chevy Chase,2600.0,Fred Bauer,1981
6000000.0,DeHaven/Shapiro Productions,United States,Michael Schultz,Comedy,9566593.0,Carbon Copy,PG,1981-06-25,92.0,5.6,George Segal,2600.0,Stanley Shapiro,1981
8000000.0,Twentieth Century Fox,United States,Ken Shapiro,Comedy,26154211.0,Modern Problems,PG,1981-12-25,93.0,5.1,Chevy Chase,4900.0,Ken Shapiro,1981
22000000.0,Metro-Goldwyn-Mayer (MGM),United States,Herbert Ross,Drama,9171289.0,Pennies from Heaven,R,1982-01-01,108.0,6.5,Steve Martin,5300.0,Dennis Potter,1981
18000000.0,Eaves Movie Ranch,United States,William A. Fraker,Action,12617845.0,The Legend of the Lone Ranger,PG,1981-05-22,98.0,5.1,Klinton Spilsbury,2000.0,Ivan Goff,1981
14000000.0,Orion Pictures,United Kingdom,Franklin J. Schaffner,Adventure,2022771.0,Sphinx,PG,1981-02-11,118.0,5.2,Lesley-Anne Down,1300.0,John Byrum,1981
2700000.0,Universal Pictures,United States,Luis Valdez,Drama,3256082.0,Zoot Suit,R,1982-01-01,103.0,6.8,Daniel Valdez,1100.0,Luis Valdez,1981
10000000.0,Heron Productions,United States,Billy Wilder,Comedy,7258543.0,Buddy Buddy,R,1981-12-11,96.0,6.5,Jack Lemmon,4500.0,Francis Veber,1981
11000000.0,Universal Pictures,United States,Oz Scott,Comedy,31261269.0,Bustin' Loose,R,1981-05-22,94.0,6.1,Richard Pryor,2900.0,Lonne Elder III,1981
12000000.0,Universal Pictures,United States,Allan Arkush,Comedy,2154696.0,Heartbeeps,PG,1981-12-18,78.0,4.3,Andy Kaufman,1300.0,John Hill,1981
3500000.0,Cinema Group Ventures,United States,Gus Trikonis,Comedy,17569027.0,Take This Job and Shove It,PG,1981-05-15,100.0,5.0,Robert Hays,761.0,Barry Schneider,1981
13000000.0,Metro-Goldwyn-Mayer (MGM),United States,John Badham,Comedy,8206145.0,Whose Life Is It Anyway?,R,1982-01-22,119.0,7.3,Richard Dreyfuss,2700.0,Brian Clark,1981
46000000.0,One Way Productions,South Korea,Terence Young,Drama,5200986.0,Inchon,PG,1982-06-17,140.0,2.7,Laurence Olivier,659.0,Robin Moore,1981
14000000.0,Universal Pictures,United States,Jean-Claude Tramont,Comedy,4454295.0,All Night Long,R,1981-03-06,87.0,5.5,Gene Hackman,1700.0,W.D. Richter,1981
12000000.0,PolyGram Pictures,United States,Roger Spottiswoode,Adventure,3702028.0,The Pursuit of D.B. Cooper,PG,1981-11-13,100.0,5.6,Robert Duvall,1100.0,J.D. Reed,1981
16000000.0,IPC Films,United States,Alan J. Pakula,Drama,10851261.0,Rollover,R,1981-12-11,116.0,5.4,Jane Fonda,1100.0,Howard Kohn,1981
24000000.0,EMI Films,United States,John Schlesinger,Action,2004742.0,Honky Tonk Freeway,PG,1981-08-21,107.0,5.2,David Rasche,928.0,Edward Clinton,1981
2000000.0,PolyGram Pictures,United States,Noel Nosseck,Action,1791147.0,King of the Mountain,PG,1981-05-01,90.0,5.5,Harry Hamlin,384.0,David Barry,1981
4500000.0,Universal Pictures,United States,Amy Heckerling,Comedy,27092880.0,Fast Times at Ridgemont High,R,1982-08-13,90.0,7.2,Sean Penn,98000.0,Cameron Crowe,1982
28000000.0,The Ladd Company,United States,Ridley Scott,Action,41676878.0,Blade Runner,R,1982-06-25,117.0,8.1,Harrison Ford,710000.0,Hampton Fancher,1982
15000000.0,Universal Pictures,United States,John Carpenter,Horror,19632053.0,The Thing,R,1982-06-25,109.0,8.1,Kurt Russell,382000.0,Bill Lancaster,1982
20000000.0,Universal Pictures,United States,John Milius,Action,68851475.0,Conan the Barbarian,R,1982-05-14,129.0,6.9,Arnold Schwarzenegger,141000.0,Robert E. Howard,1982
10500000.0,Universal Pictures,United States,Steven Spielberg,Family,792910554.0,E.T. the Extra-Terrestrial,PG,1982-06-11,115.0,7.8,Henry Thomas,381000.0,Melissa Mathison,1982
15000000.0,Anabasis N.V.,United States,Ted Kotcheff,Action,125212904.0,First Blood,R,1982-10-22,93.0,7.7,Sylvester Stallone,234000.0,David Morrell,1982
7500000.0,Lorimar Film Entertainment,United States,Taylor Hackford,Drama,129795554.0,An Officer and a Gentleman,R,1982-08-13,124.0,7.0,Richard Gere,52000.0,Douglas Day Stewart,1982
13200000.0,Paramount Pictures,United States,Patricia Birch,Comedy,15171476.0,Grease 2,PG,1982-06-11,115.0,4.4,Michelle Pfeiffer,34000.0,Ken Finkleman,1982
50000000.0,Columbia Pictures,United States,John Huston,Comedy,57063861.0,Annie,PG,1982-06-18,127.0,6.6,Aileen Quinn,41000.0,Carol Sobieski,1982
10700000.0,Metro-Goldwyn-Mayer (MGM),United States,Tobe Hooper,Horror,77142388.0,Poltergeist,PG,1982-06-04,114.0,7.3,JoBeth Williams,148000.0,Steven Spielberg,1982
12000000.0,Paramount Pictures,United States,Walter Hill,Action,78868508.0,48 Hrs.,R,1982-12-08,96.0,6.9,Nick Nolte,73000.0,Roger Spottiswoode,1982
11200000.0,Paramount Pictures,United States,Nicholas Meyer,Action,78912963.0,Star Trek II: The Wrath of Khan,PG,1982-06-04,113.0,7.7,William Shatner,115000.0,Gene Roddenberry,1982
12000000.0,Incorporated Television Company (ITC),United Kingdom,Alan J. Pakula,Drama,30036000.0,Sophie's Choice,R,1983-03-04,150.0,7.6,Meryl Streep,44000.0,William Styron,1982
22000000.0,International Film Investors,United Kingdom,Richard Attenborough,Biography,52767889.0,Gandhi,PG,1983-02-25,191.0,8.0,Ben Kingsley,220000.0,John Briley,1982
21000000.0,Columbia Pictures,United States,Sydney Pollack,Comedy,177200000.0,Tootsie,PG,1982-12-17,116.0,7.4,Dustin Hoffman,100000.0,Don McGuire,1982
17000000.0,Walt Disney Productions,United States,Steven Lisberger,Action,33000525.0,Tron,PG,1982-07-09,96.0,6.8,Jeff Bridges,115000.0,Steven Lisberger,1982
7000000.0,Aurora,United States,Don Bluth,Animation,14665733.0,The Secret of NIMH,G,1982-07-16,82.0,7.6,Elizabeth Hartman,37000.0,Robert C. O'Brien,1982
20000000.0,Embassy International Pictures,United States,Martin Scorsese,Comedy,2536242.0,The King of Comedy,PG,1983-02-18,109.0,7.8,Robert De Niro,94000.0,Paul D. Zimmerman,1982
17000000.0,Chartoff-Winkler Productions,United States,Sylvester Stallone,Drama,125052686.0,Rocky III,PG,1982-05-28,99.0,6.8,Sylvester Stallone,179000.0,Sylvester Stallone,1982
8000000.0,Leisure Investment Company,United States,Don Coscarelli,Action,14056528.0,The Beastmaster,PG,1982-08-20,118.0,6.2,Marc Singer,22000.0,Don Coscarelli,1982
8000000.0,United Film Distribution Company (UFDC),United States,George A. Romero,Comedy,21028755.0,Creepshow,R,1982-11-12,120.0,6.9,Hal Holbrook,44000.0,Stephen King,1982
3500000.0,Cambridge Productions,Australia,George Miller,Adventure,20659423.0,The Man from Snowy River,PG,1982-11-05,102.0,7.3,Kirk Douglas,8200.0,A.B. 'Banjo' Paterson,1982
12000000.0,Goldcrest Films International,United Kingdom,Alan Parker,Drama,22265763.0,Pink Floyd: The Wall,R,1982-06-17,95.0,8.0,Bob Geldof,78000.0,Roger Waters,1982
18000000.0,RKO Pictures,United States,Paul Schrader,Fantasy,7000000.0,Cat People,R,1982-04-02,118.0,6.2,Nastassja Kinski,20000.0,DeWitt Bodeen,1982
6000000.0,Cinematograph AB,Sweden,Ingmar Bergman,Drama,6795771.0,Fanny and Alexander,R,1982-12-17,188.0,8.1,Bertil Guve,59000.0,Ingmar Bergman,1982
2300000.0,Paramount Pictures,United States,Steve Miner,Horror,36690067.0,Friday the 13th Part III,R,1982-08-13,95.0,5.7,Dana Kimmell,49000.0,Martin Kitrosser,1982
18000000.0,Major Studio Partners,United States,Clint Eastwood,Action,46708276.0,Firefox,PG,1982-06-18,136.0,6.0,Clint Eastwood,26000.0,Alex Lasker,1982
2500000.0,Dino De Laurentiis Company,United States,Tommy Lee Wallace,Horror,14400000.0,Halloween III: Season of the Witch,R,1982-10-22,98.0,5.0,Tom Atkins,45000.0,Tommy Lee Wallace,1982
15000000.0,Incorporated Television Company (ITC),United Kingdom,Jim Henson,Adventure,41630431.0,The Dark Crystal,PG,1982-12-17,93.0,7.2,Jim Henson,63000.0,David Odell,1982
16000000.0,Twentieth Century Fox,United States,Sidney Lumet,Drama,53993738.0,The Verdict,R,1982-12-17,129.0,7.7,Paul Newman,37000.0,Barry Reed,1982
300000.0,Almena Films,Spain,Juan Piquer Simón,Horror,2032311.0,Pieces,Not Rated,1983-06-23,85.0,6.1,Christopher George,9300.0,Dick Randall,1982
17000000.0,Pan Arts,United States,George Roy Hill,Comedy,29712172.0,The World According to Garp,R,1982-07-23,136.0,7.2,Robin Williams,25000.0,John Irving,1982
5000000.0,Metro-Goldwyn-Mayer (MGM),United States,Barry Levinson,Comedy,14099953.0,Diner,R,1982-05-21,110.0,7.1,Steve Guttenberg,19000.0,Barry Levinson,1982
35000000.0,Universal Pictures,United States,Colin Higgins,Comedy,69701637.0,The Best Little Whorehouse in Texas,R,1982-07-23,114.0,6.0,Burt Reynolds,10000.0,Larry L. King,1982
13000000.0,Metro-Goldwyn-Mayer (MGM),Australia,Peter Weir,Drama,10278575.0,The Year of Living Dangerously,PG,1983-02-18,115.0,7.1,Mel Gibson,20000.0,David Williamson,1982
3500000.0,Rankin/Bass Productions,United Kingdom,Jules Bass,Animation,6455330.0,The Last Unicorn,G,1982-11-19,92.0,7.4,Jeff Bridges,25000.0,Peter S. Beagle,1982
9000000.0,American Cinema Productions,United States,Sidney J. Furie,Drama,13277558.0,The Entity,R,1983-02-04,125.0,6.7,Barbara Hershey,15000.0,Frank De Felitta,1982
15000000.0,Paramount Pictures,United States,Ken Finkleman,Comedy,27150534.0,Airplane II: the Sequel,PG,1982-12-10,85.0,6.2,Robert Hays,50000.0,Ken Finkleman,1982
17000000.0,Columbia Pictures,United States,Richard Donner,Comedy,47118057.0,The Toy,PG,1982-12-10,102.0,5.8,Richard Pryor,11000.0,Francis Veber,1982
425000.0,VAE Productions,United States,Mark Rosman,Horror,10604986.0,The House on Sorority Row,R,1983-07-28,91.0,6.0,Kate McNeil,7800.0,Mark Rosman,1982
10000000.0,EMI Films,United Kingdom,Guy Hamilton,Crime,6110670.0,Evil Under the Sun,PG,1982-03-05,117.0,7.1,Peter Ustinov,15000.0,Anthony Shaffer,1982
2000000.0,Golan-Globus Productions,United States,Michael Winner,Action,16100000.0,Death Wish II,R,1982-02-19,89.0,6.0,Charles Bronson,15000.0,David Engelbach,1982
4500000.0,Columbia Pictures,United States,Michael Miller,Action,10490791.0,Silent Rage,R,1982-04-02,103.0,5.5,Chuck Norris,5300.0,Joseph Fraley,1982
20000000.0,Golden Harvest Company,Hong Kong,Hal Needham,Action,5675599.0,Megaforce,PG,1982-06-25,99.0,3.7,Barry Bostwick,3400.0,Bob Kachler,1982
16000000.0,The Geffen Company,United States,Robert Towne,Drama,5672311.0,Personal Best,R,1982-06-26,128.0,6.3,Mariel Hemingway,2600.0,Robert Towne,1982
9000000.0,Aspen Film Society,United States,Carl Reiner,Comedy,18196170.0,Dead Men Don't Wear Plaid,PG,1982-05-21,88.0,6.9,Steve Martin,21000.0,Carl Reiner,1982
5000000.0,Dino De Laurentiis Company,Mexico,Damiano Damiani,Horror,12534817.0,Amityville II: The Possession,R,1982-06-24,104.0,5.5,James Olson,11000.0,Tommy Lee Wallace,1982
9500000.0,PolyGram Filmed Entertainment,United States,Costa-Gavras,Biography,14000000.0,Missing,PG,1982-03-12,122.0,7.7,Jack Lemmon,19000.0,Costa-Gavras,1982
11300000.0,Chai Productions,United States,David S. Ward,Comedy,5301539.0,Cannery Row,PG,1982-02-12,120.0,6.7,Nick Nolte,3500.0,John Steinbeck,1982
13000000.0,Columbia Pictures,United States,Paul Mazursky,Comedy,5005245.0,Tempest,PG,1982-06-24,140.0,6.5,John Cassavetes,2200.0,Paul Mazursky,1982
10000000.0,United Artists,United States,Robert Benton,Crime,5979947.0,Still of the Night,PG,1982-11-19,93.0,6.1,Roy Scheider,4300.0,Robert Benton,1982
800000.0,Embassy Pictures,United States,Charles Band,Horror,2270.0,Parasite,R,1982-03-12,85.0,3.9,Robert Glaudini,2300.0,Alan J. Adler,1982
2000000.0,The Malpaso Company,United States,Clint Eastwood,Comedy,4484991.0,Honkytonk Man,PG,1982-12-15,122.0,6.6,Clint Eastwood,8200.0,Clancy Carlile,1982
850000.0,Sandcastle 5 Productions,United States,Robert Altman,Comedy,840958.0,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,1983-04-06,109.0,7.2,Cher,4200.0,Ed Graczyk,1982
